greeting	phrase	bye	greetwhole
hi 	how are you? 	goodbye {Oh <hey|look|wow>, }%nick% is back! <Get in the kitchen and make me a sammich<.|!>|Go get me a subway.>	One of us. One of us.
hai 	how are you doing? 	{'}bye	{Well, well. }Look <who's here|what the chat dragged in>.
hiya 	how're you doin'? 	byenosaur	One of us. One of us.
ohai 	how you doin'? 	later	Hoo-hoo. Big summer blowout.
oh hi 	how are your cousins <spinning|spinnin'>? 	cheerio	%nick%<!|.> You missed {out on }everything{ <awesome|worth talking about>}.{ I hope you're happy.}
O-H 	what's <up|new|happening>? 	cheers	Wait, don't <join|come in> yet<.|!>{ :0}
hiyo 	what's good in the hood? 	ta-ta	Help me.
hinosaur 	{'}sup? 	toodles	Wait. Who's th<is|at>?
hey 	w{h}a<zz|ss>up? 	toodle-oo	Relax, %nick%. We are programmed to receive.{ You can check out any time you like, but you can never leave!}
hay 	what up? 	hooroo	Whoa. So this is %nick%.{ I love it.}
heyo 	how's it <going|goin'|hanging|hangin'>? 	adios 	Watch your step!{ Let it go!}
heya 	how's your belly off for spots? 	ciao 	Come on, let's go and play.
ey 	how {say you }now? 	adieu 	%nick%, please go back home.{ Your life awaits.}
eyyyyy 	how are things? 	sayonara 	That's okay -- %nick% can just unfreeze it!
hello 	how's tricks? 	jaa{ ne}	You're not safe here!
'lo 	how's life{ treating <you|ya>}? 	catch <you|ya> later 	Look, %nick%! The sky's awake!
'ello 	what are you <doing|doin'|up to>? 	talk to <you|ya> later 	%nick%'s like a little cupcake!
heylo 	what'cha <doing|doin'|up to>? 	{i'll }be seeing <you|ya>{< later| on the other side>} 	Ahem. Your Majesty. The Duke of Weaseltown.
hillo 	what're you <doing|doin'|up to>? 	<See< you|{ }ya>|C{ }ya>{< later| on the other side>} 	Glad I caught you.
hi lo 	Good to see you 	<in|after> a while	What's this?
hallo 	i bid <you|thee> <greetings|welcome|salutations> 	until <later|next time|your face shows up once more>	I love crazy.
allo 	{it's a }pleasure to meet you 	peace{ out| from the middle east} 	Who goes there?
haldo 	how do you do? 	fare{< thee | you >}well 	Are you a monster, too?
hullo 	{please, }make yourself <at home|comfortable> 	godspeed{ your journey} 	I bet %nick%'s the nicest, gentlest, warmest person ever.
jello 	{are} you <alright|okay>? 	good luck 	I wouldn't put my foot there.
yello 	peace, completeness, prosperity, and welfare upon you	have fun 	Do you think %nick% knows how to knock?
herro 	affection, peace, compassion, and mercy upon you	have a <nice|good|pleasant|spectacular|fluffy> day	So! This is what %nick% looks like.
herrow 	<greetings|freedom and liberty> {be }upon you 	stay <safe|careful|awesome|nice|fluffy>	This %nick% is more than just the spare.
greetings 	i come in peace 	good night 	Life's too short to miss out on a %nick% like you.
welcome{ back} 	{may }the Light <illumine {and protect}|shine {up}on> you 	g'night 	Who knew we owned eight thousand %nick%s?
