trigger	link
.acl	http://fc09.deviantart.net/fs70/i/2011/270/9/d/when_life_gives_you_lemons____by_theflashguy-d4b3tfj.jpg
.albatross	http://imgur.com/RbkvUjQ
.alby	http://fc08.deviantart.net/fs71/f/2012/205/1/8/sneaky_albatross_gif_thing_by_sneakyalbatross-d58hej6.gif
.alsogg	http://gfycat.com/BossyTautGoa
.ambi	http://thumbs.dreamstime.com/z/christian-child-praying-864059.jpg
.abmi	https://c1.staticflickr.com/5/4128/5069422171_452740759b_z.jpg
.AnnaIsBetter	https://38.media.tumblr.com/f24b9d80029eab31a6ed0e79a4382797/tumblr_n3epzlO5UY1tne4n9o2_500.gif
.ashtherion	http://www.keepcalm-o-matic.co.uk/p/keep-calm-and-crush-ashtherion-1/
.ash	http://1.bp.blogspot.com/-pFf8JHb6_DM/Tuiekk_MGAI/AAAAAAAAANU/mXBOaJJNc10/s400/spiderlove.png
.avi	http://www.deskeng.com/de/img/supercomputing-and-the-cloud-2-in-a-series_1.jpg
.aww	http://img.pandawhale.com/post-41000-Frozen-Anna-smiling-gif-Imgur-WEqF.gif
.bert	http://i.imgur.com/ID3dM.gif
.blink	http://i.imgur.com/SicLzOm.gif
.moreat11	http://gfycat.com/DopeyKaleidoscopicEyra
.bye	http://gfycat.com/DarlingRigidHylaeosaurus
.can'tbegood	http://www.scp-wiki.net/scp-2558-j
.caramelldansen	http://projects.kuschku.de/annarave/#7
.carp	http://29.media.tumblr.com/tumblr_lj3vqcJP511qg64aho1_500.gif
.carrie	https://c1.staticflickr.com/1/80/211148712_e7a38e9cbc_z.jpg?zz=1
.cgn	http://annstreetstudio.com/wp-content/uploads/2012/11/Fall980.gif
.cleverdick	https://www.youtube.com/watch?v=Y3VXwmfKxl8
.cobra	http://1.bp.blogspot.com/-10ivc13SUT8/T0Av87eamQI/AAAAAAAAA34/wgdTI9ZoVpE/s1600/cobra+commander+get+to+work.jpg
.confused	http://i.imgur.com/WbY6osO.gif
.dangerous	http://www.scp-wiki.net/scp-529
.dasha	http://stream1.gifsoup.com/webroot/animatedgifs/1048684_o.gif
.dave	http://s3.amazonaws.com/stripgenerator/strip/03/52/76/00/00/full.png
.deeno	http://fc01.deviantart.net/fs70/i/2013/067/f/3/dino_star_wars___ipad_painting_by_tearsinraine-d5xfdrf.png
.denver	http://static.tvtropes.org/pmwiki/pub/images/Denver_TLD_399.jpg
.diva	https://riversofgrue.files.wordpress.com/2014/10/high_fidelity_review-3.jpg
.dizzy	https://www.youtube.com/watch?v=isgTvDFpsSg
.elsa	http://gfycat.com/NegativeUnluckyGalago
.eric	http://www.lightweightfunny.com/wp-content/uploads/2012/04/qUw3v.jpg
.etbj	https://k0nsl.org/blog/k1/uploads/2013/06/eagle_jew_bear01_k0nsl.jpg
.face	http://x4.fjcdn.com/comments/whatugawkinat+rolls+6+942+696+Down+and+only+3+million+more+to+_3a4d6c6ec8e4b13912189d49d9807d31.jpg
.frankjaeger	http://img3.wikia.nocookie.net/__cb20060519121327/metalgear/images/0/09/Grayfox.jpg
.gash	http://i.imgur.com/LxM1u5j.gif
.gg	http://fc02.deviantart.net/fs28/f/2008/087/9/1/TF__Mini_Soundwave_by_DoodleWEE.jpg
.gk	http://www.painted-ladies.com/wp-content/uploads/2011/10/DSC_1314.jpg
.hug	http://gfycat.com/MiserableAggravatingGenet
.hurtface	http://i.imgur.com/o5deUqD.png
.jackroad	http://www.wired.com/wp-content/uploads/2014/09/tumblr_nb5cdebTVy1tkwgtqo1_500.gif
.jamish	http://www.lifeisajoke.com/Computer/amish_computer_virus.gif
.jj	http://img2.wikia.nocookie.net/__cb20140707132211/grimadventures/images/b/b6/Jack_o_lantern_gif_by_invaderzim2100-d5ah0aj.gif
.jt	http://historysgreatestbeards.files.wordpress.com/2011/03/wild-bears-and-mustaches-1.jpg
.jtintensifies	http://media.tumblr.com/4c9e0a2a4119971ed8f73d005d9d15ee/tumblr_midt4tmUfU1qiz6ulo3_250.gif
.kate	http://media.urbandictionary.com/image/page/xd-16635.jpg
.lemon	http://www.lemonythyme.com/wp-content/uploads/2013/03/Roasted-Lemon-Artichoke-Chicken-1024x768.jpg
.lind	http://static.fjcdn.com/pictures/KKK_c95ea1_2077155.jpg
.macready	http://25.media.tumblr.com/tumblr_lhsym1aBy11qg39ewo1_500.gif
.malos	http://www.brainyquote.com/quotes/quotes/a/abbiehoffm383484.html
.marc	http://static.zerochan.net/Warhammer.40k.full.1116562.jpg
.marcuse	http://sd.keepcalm-o-matic.co.uk/i/keep-calm-and-blood-for-blood-god.png
.matt	http://i.imgur.com/NUyttbn.gif
.max	http://bearingdrift.com/wp-content/uploads/Nothing.jpg
.maxpower	http://37.media.tumblr.com/tumblr_lpkxfbPkun1qf6a5to1_400.gif
.meatbot	https://www.youtube.com/watch?v=Y6ljFaKRTrI
.meatpuppet	A 17-year-old Canadian Frozen fangirl who programmed me, loves Python to a bit (0b1), didn't bother fetching a link for herself, and was probably dinged by this. (That's okay.)
.mick	http://www.shortpacked.com/images/tshirt-gardeningman.jpg
.moo	https://www.youtube.com/watch?v=K4aj3Q1_mh4
.nate	https://www.youtube.com/watch?v=DaZ_gk_JqIs
.newcarp	http://gfycat.com/RightDecimalBangeltiger
.nooo	http://i.imgur.com/S0Wx6sJ.gif
.nope	http://gfycat.com/HauntingEuphoricAcouchi
.nopenope	http://gfycat.com/ChiefForcefulCoral
.nos	http://www.shalombewithyou.com/wp-content/uploads/yapb_cache/demon_in_mirror.lnjegpcmcm8k44sosoco0g40.6ylu316ao144c8c4woosog48w.th.jpeg
.notcia	http://1.bp.blogspot.com/__w0Kw9rEq4w/TMnMSFPf2GI/AAAAAAAAAKU/JACIQR3A64E/s1600/Not+CIA.jpg
.nox	http://www.astoriafishingguide.com/Site/images/salmon_stuffed.jpg
.nudge	https://www.youtube.com/watch?v=SrDFGa0juCM
.ojn	http://unhearit.com/
.orange	http://www.funny-limericks-for-everyone.co.uk/medieval-plucked-eyebrows-limerick
.readersprite	http://cdn.playbuzz.com/cdn/8bdb56c8-3e08-487d-9d6e-5525754140ae/ea15d5b6-8ac5-452a-8649-4808f4df075b.jpg
.ridley	https://www.youtube.com/watch?v=tXHJZCZom9o
.scared	http://gfycat.com/MammothPleasingAmphibian
.smooth	http://i.imgur.com/jmw1r0n.jpg
.sorry	http://gfycat.com/ExcellentGlamorousAmericanrobin
.sparrow	http://media.gamerevolution.com/images/misc/image/jack-sparrow-bird.jpg
.spock	http://i.imgur.com/NZQhi.gif
.sprite	http://static.tumblr.com/44359dbd7bfeee5dc037388b848c2017/jzexzlk/RMwmjdocx/tumblr_static_tumblr_m8nxkw60sp1r4qxzoo1_400.gif
.stranna	http://i.imgur.com/EWBuhCQ.gif
.strant	http://i.imgur.com/mmp29Wt.png
.sunny	http://www.caninest.com/images/dog-sunglasses-3.jpg
.squee	http://i.imgur.com/MU7KJku.gif
.tcs	http://thecommentsection.org
.tess	http://uploads5.wikiart.org/images/ilya-repin/the-piano-portrait-of-s-v-tarnovskaya-1880.jpg
.thankyou	http://gfycat.com/CalmIdolizedGossamerwingedbutterfly
.truelove	http://i.imgur.com/5mIQcf1.gif
.vimes	http://fc04.deviantart.net/fs70/f/2012/023/5/7/vimes_plushie_by_vrekasht-d4nfgy6.jpg
.want	http://gfycat.com/VerifiablePoliticalAsiaticmouflon
.what	http://i.imgur.com/IwIJdge.gif
.whatthefuck	http://gfycat.com/EnergeticDiscreteElephantbeetle
.wtf	http://i.imgur.com/HsNtjrv.gif
.yes	http://i.imgur.com/YuFTx4V.gif
