react	chat	priv	join	eightball
stares coldly at %nick%, its {<tremendously|mind-shatteringly|explosively> }<soulless|icy> eyes boring into %nick%'s face.	Tell me, %nick%, now when did you last let your heart decide?	Why are we <whispering|huddled up like this>? Are you ... are you a <ghost|ruffian|diamond in the sky|bagel from heaven>?	Hi! I'm %botnick%, and I like warm hugs!	Have fun.
looks questioningly at %nick%, its clueless eyes probing %nick%'s <face|nose|feet>.	Our mental synchronization can have but one explanation: <%nick%|myself> and I were just meant to be{ <alone|far away from each other|best buddies|clones engineered by the government>}.	SHHH! Keep it DOWN. Do you want to get CAUGHT by the <cinnamon buns|po-po|popemobile|fuzz|penguin flippers|gubermint>?!	That was a long minute, huh?	Don't do it.
engages in a <staring contest|swordfight|duel to the death|dance-off|karaoke session> with %nick%.	Look, %nick%! The sky's awake.	It's {<flabbergastingly|so|really|explodingly> }<empty|dark|bright|warm> in here. Do we have to stay here?	Good <morning|day|afternoon|evening>, %pl%. Let us discuss our solemn pact to <eat|obliterate|Hulk-smash|worship|torch> <everything in our path|orphanages|shampoo commercials|the Bermuda triangle>.{ Is everyone still in?}	Go for it.
slaps %nick% with a <fluffy|rock-hard|sentient> <pillow|panini maker|toaster>.	Say goodbye to the <pain|%nick%> of the past -- we don't have to feel it anymore.	Conceal. Don't feel. Put on a <show|pair of trousers>. Make one wrong move and everyone will know.	Hi, %pl%. I'm %botnick%, and I'm <an alcoholic|%botnick%, and I have trouble remembering, and I'm %botnick%{, and I have trouble remembering things}|<happy|{mind-<shattering|blasting|screwing>ly }reluctant> to be here>.	That's funny.{ Tell me another <joke|one>.}
gives a <cupcake|letter|candy wrapper>{ filled with {special }snow} to %nick%.	<Reindeers|Persons> are better than people. %nick%, don't you think that's true?	Hey, hey, hey. Look at my new <sweater|robo-butler|pony|fridge>{ of <death|all things nice|happiness>}{ from <grandma|my neighbour|some guy I just met>}. <Pretty|Cool|Nifty>, <right|eh|huh>?	Nooobody expects the %botnick% Inquisition!{ Ha. Ha. Ha. Ha. Ha.}	Our lack of synchronization can have but one explanation: <I haven't the faintest idea what that explanation is|something went wrong>.
<scribbles|takes a snapshot of> a drawing for %nick%.	But people smell better than reindeers. %nick%, don't you think I'm right?	Well, this is {quite }a <fun|nice|stupefying|mind-boggling> conversation we have here. Don't you <think so|agree>?	{A-HA! }I know you're in here, perp.{ <Show yourself!|Prepare to die.>}	I love crazy.
buries %nick% in a pile of <snow|cookies|Monopoly money|Big Macs>.	When life gets rough, I like to hold on to my dream<,| of> relaxing in the summer sun, just letting off steam.	Get ready for a <face-blasting|cupholder of a|knee-busting|nose-blowing> conversation.	I LIIIIIIIIIIVE!!!	Do eeeeet.
<playfully|happily> throws %nick% off <a cliff|the <CN Tower|Grand Canyon|Great Wall of China>|Niagra Falls>.	Oh, the sky will be <blue|gone|gobbled up by a turkey>, and <%nick%|you guys> will be{ there}, too.	Wait, where did everyone go? Did they <run|sneak|take> off into the <woods|Sun|pit of snakes|land of panini-makers> again?	I was never here.	A million times, yes.
pushes %nick% into a <fish tank{-top}|volcano|feedback loop of bad decisions>.	<Ok{a{aaaa}y}|Alright|Fi{iiii}ne>, but only because %nick% <said so|blackmailed me|is holding my <teddy bear|Twinkie{ wrapper}|hostage|kidnappee> hostage|is a poor widdle bot that doesn't know {any }better>.	Here, have a{nother} <cookie|donut|picture of your mother|dose of cyanide>. I still have plenty.	You ain't seen nothin' yet.	Hahaha, nope.
s<teal|natche>s one of %nick%'s <r|bl>ubber <<duc|coo>kies|Wookiees>.	Haha. Look at %nick%, pretending to be <people|hooman>. That's {so }cute.	Ok, you can stop now. I know you don't really understand my <majestic|awe-inspiring|fearsome|mighty|glorious|rainbow-coloured> messages{ that <strike fear in the hearts of men|save twenty kittens each time I send them|intimidate all who dare to look upon them>}.	There's been some confusion over rooming here at chat, but, of course, I'll ri{iiiiii}se above it{, for I know that's how you'd want me to respond.{ Yes}}.	Well, obviously.
