quote	title	from	order
We've got a long way to go.	I'll Make a Man Out of You	Mulan	1
Let's get down to business!	I'll Make a Man Out of You	Mulan	2
To defeat	I'll Make a Man Out of You	Mulan	3
The Huns!	I'll Make a Man Out of You	Mulan	4
(Hyah!)	I'll Make a Man Out of You	Mulan	5
Did they send me daughters	I'll Make a Man Out of You	Mulan	6
When I asked	I'll Make a Man Out of You	Mulan	7
For sons?	I'll Make a Man Out of You	Mulan	8
You're the saddest bunch I ever met.	I'll Make a Man Out of You	Mulan	9
But you can bet before we're through:	I'll Make a Man Out of You	Mulan	10
Mister, I'll	I'll Make a Man Out of You	Mulan	11
Make a man ...	I'll Make a Man Out of You	Mulan	12
Out of you.	I'll Make a Man Out of You	Mulan	13
Tranquil as a forest,	I'll Make a Man Out of You	Mulan	14
But a fire	I'll Make a Man Out of You	Mulan	15
Within.	I'll Make a Man Out of You	Mulan	16
Once you find your centre,	I'll Make a Man Out of You	Mulan	17
You are sure	I'll Make a Man Out of You	Mulan	18
To win.	I'll Make a Man Out of You	Mulan	19
You're a spineless, pale,	I'll Make a Man Out of You	Mulan	20
Pathetic lot,	I'll Make a Man Out of You	Mulan	21
and you haven't got a clue.	I'll Make a Man Out of You	Mulan	22
Somehow, I'll	I'll Make a Man Out of You	Mulan	23
Make a man	I'll Make a Man Out of You	Mulan	24
Out of youuuuu!	I'll Make a Man Out of You	Mulan	25
I'm never gonna catch my breath!	I'll Make a Man Out of You	Mulan	26
Say goodbye to those who knew me!	I'll Make a Man Out of You	Mulan	27
Boy, was I a fool in school for cutting gym!	I'll Make a Man Out of You	Mulan	28
This guy's got 'em scared to death!	I'll Make a Man Out of You	Mulan	29
Hope he doesn't see right through me!	I'll Make a Man Out of You	Mulan	30
Now, I really wish that I knew how to swim!	I'll Make a Man Out of You	Mulan	31
Be a man ...	I'll Make a Man Out of You	Mulan	32
We must be swift as a coursing river,	I'll Make a Man Out of You	Mulan	33
Be a man ...	I'll Make a Man Out of You	Mulan	34
With all the force of a great typhoon,	I'll Make a Man Out of You	Mulan	35
Be a man ...	I'll Make a Man Out of You	Mulan	36
With all the strength of a raging fire,	I'll Make a Man Out of You	Mulan	37
Mysterious as the dark side of	I'll Make a Man Out of You	Mulan	38
The moooooon!	I'll Make a Man Out of You	Mulan	39
Time is racing toward us	I'll Make a Man Out of You	Mulan	40
til the Huns	I'll Make a Man Out of You	Mulan	41
Arrive!	I'll Make a Man Out of You	Mulan	42
Heed my every order,	I'll Make a Man Out of You	Mulan	43
And you might	I'll Make a Man Out of You	Mulan	44
Survive!	I'll Make a Man Out of You	Mulan	45
You're unsuited for	I'll Make a Man Out of You	Mulan	46
The rage of war,	I'll Make a Man Out of You	Mulan	47
So pack up;	I'll Make a Man Out of You	Mulan	48
Go home;	I'll Make a Man Out of You	Mulan	49
You're through.	I'll Make a Man Out of You	Mulan	50
How could I	I'll Make a Man Out of You	Mulan	51
Make a man ...	I'll Make a Man Out of You	Mulan	52
Out of youuuuu?	I'll Make a Man Out of You	Mulan	53
Be a man ...	I'll Make a Man Out of You	Mulan	54
We must be swift as a coursing river ...	I'll Make a Man Out of You	Mulan	55
Be a man ...	I'll Make a Man Out of You	Mulan	56
With all the force of a great typhoon ...	I'll Make a Man Out of You	Mulan	57
Be a man ...	I'll Make a Man Out of You	Mulan	58
With all the strength of a raging fire ...	I'll Make a Man Out of You	Mulan	59
Mysterious as the dark side of ...	I'll Make a Man Out of You	Mulan	60
The mooooooon!	I'll Make a Man Out of You	Mulan	61
Be a man!	I'll Make a Man Out of You	Mulan	62
We must be swift as a coursing river,	I'll Make a Man Out of You	Mulan	63
Be a man!	I'll Make a Man Out of You	Mulan	64
With all the force of a great typhoon,	I'll Make a Man Out of You	Mulan	65
Be a man!	I'll Make a Man Out of You	Mulan	66
With all the strength of a raging fire,	I'll Make a Man Out of You	Mulan	67
Mysterious as the dark side of	I'll Make a Man Out of You	Mulan	68
The moooooon!	I'll Make a Man Out of You	Mulan	69
Hyah!	I'll Make a Man Out of You	Mulan	70
This is what you give me to work with? Well, honey, I've seen worse.	Honour to Us All	Mulan	1
We're gonna turn this sow's ear into a silk purse.	Honour to Us All	Mulan	2
It's freezing!	Honour to Us All	Mulan	3
It would have been warm if you were here on time.	Honour to Us All	Mulan	4
We'll have you washed and dried,	Honour to Us All	Mulan	5
Primped and polished 'til you glow with pride.	Honour to Us All	Mulan	6
Trust my recipe for instant bride.	Honour to Us All	Mulan	7
You'll bring honour to us all.	Honour to Us All	Mulan	8
Mulan, what's this?	Honour to Us All	Mulan	9
Uh ... notes. In case I forget something?	Honour to Us All	Mulan	10
Hold this. You'll need more luck than I thought.	Honour to Us All	Mulan	11
Wait and see: when we're through,	Honour to Us All	Mulan	12
Boys will gladly go to war for you.	Honour to Us All	Mulan	13
With good fortune,	Honour to Us All	Mulan	14
And a great hairdo,	Honour to Us All	Mulan	15
You'll bring honour to us all.	Honour to Us All	Mulan	16
A girl can bring her family great honour in one way:	Honour to Us All	Mulan	17
By striking a good match,	Honour to Us All	Mulan	18
And this could be day!	Honour to Us All	Mulan	19
Men want girls with good taste --	Honour to Us All	Mulan	20
Calm,	Honour to Us All	Mulan	21
Obedient,	Honour to Us All	Mulan	22
Who work fast-paced.	Honour to Us All	Mulan	23
With good breeding,	Honour to Us All	Mulan	24
And a tiny waist,	Honour to Us All	Mulan	25
You'll bring honour to us all.	Honour to Us All	Mulan	26
We all must serve our emperor, who guards us from the Huns.	Honour to Us All	Mulan	27
A man by bearing arms;	Honour to Us All	Mulan	28
A girl by bearing sons.	Honour to Us All	Mulan	29
When we're through, you can't fail.	Honour to Us All	Mulan	30
Like a lotus blossom, soft and pale.	Honour to Us All	Mulan	31
How could any fellow say, "No sale"?	Honour to Us All	Mulan	32
You'll bring honour to us all.	Honour to Us All	Mulan	33
There. You're ready.	Honour to Us All	Mulan	34
Not yet! An apple for serenity, a pendant for balance ...	Honour to Us All	Mulan	35
Beads of jade for beauty:	Honour to Us All	Mulan	36
You must proudly show it.	Honour to Us All	Mulan	37
Now, add a cricket	Honour to Us All	Mulan	38
Just for luck,	Honour to Us All	Mulan	39
And even you can't blow it!	Honour to Us All	Mulan	40
Ancestors, hear my plea:	Honour to Us All	Mulan	41
Help me not to make a fool of me.	Honour to Us All	Mulan	42
And to not uproot my family tree, keep my father standing tall.	Honour to Us All	Mulan	43
Keep my father standing tall.	Honour to Us All	Mulan	44
Scarier than the undertaker,	Honour to Us All	Mulan	45
We are meeting our matchmaker!	Honour to Us All	Mulan	46
Destiny, guard our girls,	Honour to Us All	Mulan	47
And our future as it fast unfurls.	Honour to Us All	Mulan	48
Please look kindly on these cultured pearls,	Honour to Us All	Mulan	49
Each a perfect porcelain doll ...	Honour to Us All	Mulan	50
Please bring honour to us,	Honour to Us All	Mulan	51
Please bring honour to us,	Honour to Us All	Mulan	52
Please bring honour to us,	Honour to Us All	Mulan	53
Please bring honour to us,	Honour to Us All	Mulan	54
Please	Honour to Us All	Mulan	55
Bring	Honour to Us All	Mulan	56
Honour to us all!	Honour to Us All	Mulan	57
Look at me: I may never pass for a perfect bride, or a perfect daughter.	Reflection	Mulan	1
Can it be I'm not meant to play this part?	Reflection	Mulan	2
Now I see that if I were truly to be myself, I would break my family's heart.	Reflection	Mulan	3
Who is that girl I see staring straight back at me?	Reflection	Mulan	4
Why is my reflection someone I don't know?	Reflection	Mulan	5
Who is that perfect bride? It's not me, though I've tried.	Reflection	Mulan	6
When will my reflection show who I am inside?	Reflection	Mulan	7
How I pray that a time will come I can free myself from their expectations.	Reflection	Mulan	8
On that day, I'll discover some way to be myself, and to make my family proud.	Reflection	Mulan	9
They want a docile lamb. No-one knows who I am.	Reflection	Mulan	10
Must there be a secret me I'm forced to hide?	Reflection	Mulan	11
Must I pretend that I am someone else for all time?	Reflection	Mulan	12
For a long time, we've been marching off to battle.	A Girl Worth Fighting For	Mulan	1
In our thundering herd, we feel a lot like cattle.	A Girl Worth Fighting For	Mulan	2
Like the pounding beat, our aching feet aren't easy to ignore.	A Girl Worth Fighting For	Mulan	3
Hey! Think of, instead, a girl worth fighting for.	A Girl Worth Fighting For	Mulan	4
Huh?	A Girl Worth Fighting For	Mulan	5
That's what I said: a girl worth fighting for!	A Girl Worth Fighting For	Mulan	6
I want her paler than the moon with eyes that shine like stars.	A Girl Worth Fighting For	Mulan	7
My girl will marvel at my strength, adore my battle scars.	A Girl Worth Fighting For	Mulan	8
I couldn't care less what she'll wear, or what she looks like.	A Girl Worth Fighting For	Mulan	9
It all depends on what she cooks, like	A Girl Worth Fighting For	Mulan	10
Beef!	A Girl Worth Fighting For	Mulan	11
Pork!	A Girl Worth Fighting For	Mulan	12
Chicken!	A Girl Worth Fighting For	Mulan	13
Mmm!	A Girl Worth Fighting For	Mulan	14
Bet the local girls thought you were quite the charmer.	A Girl Worth Fighting For	Mulan	15
And I'll bet the ladies love a man in armour.	A Girl Worth Fighting For	Mulan	16
You can guess what we have missed the most since we went off to war!	A Girl Worth Fighting For	Mulan	17
What do we want?	A Girl Worth Fighting For	Mulan	18
A girl worth fighting for!	A Girl Worth Fighting For	Mulan	19
My girl will think I have no faults, that I'm a major find.	A Girl Worth Fighting For	Mulan	20
Uh ... how 'bout a girl who's got a brain, who always ... speaks her mind?	A Girl Worth Fighting For	Mulan	21
Nah!	A Girl Worth Fighting For	Mulan	22
My manly ways and turn of phrase are sure to thrill her!	A Girl Worth Fighting For	Mulan	23
He thinks he's such a lady killer.	A Girl Worth Fighting For	Mulan	24
I've a girl back home who's unlike any other!	A Girl Worth Fighting For	Mulan	25
Yeah, the only girl who'd love him is his mother.	A Girl Worth Fighting For	Mulan	26
But when we come home in victory, they'll line up at the door!	A Girl Worth Fighting For	Mulan	27
What do we want?	A Girl Worth Fighting For	Mulan	28
A girl worth fighting for!	A Girl Worth Fighting For	Mulan	29
Wish that I had ...	A Girl Worth Fighting For	Mulan	30
A girl worth fighting for!	A Girl Worth Fighting For	Mulan	31
A girl worth fighting -- !	A Girl Worth Fighting For	Mulan	32
Born of cold and winter air and mountain rain combining,	Frozen Heart	Frozen	1
This icy force, both foul and fair, has a frozen heart worth mining.	Frozen Heart	Frozen	2
So cut through the heart, cold and clear.	Frozen Heart	Frozen	3
Strike for love and strike for fear.	Frozen Heart	Frozen	4
See the beauty, sharp and sheer.	Frozen Heart	Frozen	5
Split the ice apart ...	Frozen Heart	Frozen	6
And break the frozen heart!	Frozen Heart	Frozen	7
Watch your step!	Frozen Heart	Frozen	8
Let it go!	Frozen Heart	Frozen	9
Rah! Ho!	Frozen Heart	Frozen	10
Watch your step!	Frozen Heart	Frozen	11
Let it go!	Frozen Heart	Frozen	12
Beautiful!	Frozen Heart	Frozen	13
Powerful!	Frozen Heart	Frozen	14
Dangerous!	Frozen Heart	Frozen	15
Cold!	Frozen Heart	Frozen	16
Ice has a magic, can't be controlled.	Frozen Heart	Frozen	17
Stronger than one!	Frozen Heart	Frozen	18
Stronger than ten!	Frozen Heart	Frozen	19
Stronger than a hundred men! Hyah!	Frozen Heart	Frozen	20
Born of cold and winter air and mountain rain combining,	Frozen Heart	Frozen	21
This icy force, both foul and fair, has a frozen heart worth mining!	Frozen Heart	Frozen	22
Cut through the heart, cold and clear!	Frozen Heart	Frozen	23
Strike for love and strike for fear!	Frozen Heart	Frozen	24
There's beauty and there's danger here.	Frozen Heart	Frozen	25
Split the ice apart!	Frozen Heart	Frozen	26
Beware the frozen heart ...	Frozen Heart	Frozen	27
Elsa?	Do You Want to Build a Snowman?	Frozen	1
Do you want to build a snowman?	Do You Want to Build a Snowman?	Frozen	2
Come on, let's go and play!	Do You Want to Build a Snowman?	Frozen	3
I never see you anymore.	Do You Want to Build a Snowman?	Frozen	4
Come out the door.	Do You Want to Build a Snowman?	Frozen	5
It's like you've gone away!	Do You Want to Build a Snowman?	Frozen	6
We used to be best buddies,	Do You Want to Build a Snowman?	Frozen	7
And now, we're not.	Do You Want to Build a Snowman?	Frozen	8
I wish you would tell me why!	Do You Want to Build a Snowman?	Frozen	9
Do you want to build a snowman?	Do You Want to Build a Snowman?	Frozen	10
It doesn't have to be a snowman ...	Do You Want to Build a Snowman?	Frozen	11
Go away, Anna!	Do You Want to Build a Snowman?	Frozen	12
Okay, bye ...	Do You Want to Build a Snowman?	Frozen	13
Do you want to build a snowman?	Do You Want to Build a Snowman?	Frozen	14
Or ride our bike around the halls?	Do You Want to Build a Snowman?	Frozen	15
I think some company is overdue.	Do You Want to Build a Snowman?	Frozen	16
I've started talking to the pictures on the walls!	Do You Want to Build a Snowman?	Frozen	17
Hang in there, Joan.	Do You Want to Build a Snowman?	Frozen	18
It gets a little lonely,	Do You Want to Build a Snowman?	Frozen	19
All these empty rooms.	Do You Want to Build a Snowman?	Frozen	20
Just watching the hours tick by!	Do You Want to Build a Snowman?	Frozen	21
*tick* *tock* *tick* *tock* *tick* *tock* *tick* *tock*	Do You Want to Build a Snowman?	Frozen	22
... Elsa?	Do You Want to Build a Snowman?	Frozen	23
