quote	title	from	order
Let's get down to business to defeat the Huns.	I'll Make a Man Out of You	Mulan	1
Did they send me daughters when I asked for sons?	I'll Make a Man Out of You	Mulan	2
You're the saddest bunch I ever met.	I'll Make a Man Out of You	Mulan	3
But you can bet before we're through: mister, I'll make a man out of you.	I'll Make a Man Out of You	Mulan	4
Tranquil as a forest, but a fire within.	I'll Make a Man Out of You	Mulan	5
Once you find your centre, you are sure to win.	I'll Make a Man Out of You	Mulan	6
You're a spineless, pale, pathetic lot, and you haven't got a clue.	I'll Make a Man Out of You	Mulan	7
Somehow, I'll make a man out of you.	I'll Make a Man Out of You	Mulan	8
I'm never gonna catch my breath!	I'll Make a Man Out of You	Mulan	9
Say goodbye to those who knew me!	I'll Make a Man Out of You	Mulan	10
Boy, was I a fool in school for cutting gym!	I'll Make a Man Out of You	Mulan	11
This guy's got 'em scared to death!	I'll Make a Man Out of You	Mulan	12
Hope he doesn't see right through me!	I'll Make a Man Out of You	Mulan	13
Now, I really wish that I knew how to swim!	I'll Make a Man Out of You	Mulan	14
You must be swift as a coursing river,	I'll Make a Man Out of You	Mulan	15
With all the force of a great typhoon,	I'll Make a Man Out of You	Mulan	16
With all the strength of a raging fire,	I'll Make a Man Out of You	Mulan	17
Mysterious as the dark side of the moon!	I'll Make a Man Out of You	Mulan	18
Time is racing toward us 'til the Huns arrive.	I'll Make a Man Out of You	Mulan	19
Heed my every order, and you /might/ survive.	I'll Make a Man Out of You	Mulan	20
You're unsuited for the rage of war, so pack up; go home -- you're through.	I'll Make a Man Out of You	Mulan	21
How could I make a man out of you?	I'll Make a Man Out of You	Mulan	22
This is what you give me to work with? Well, honey, I've seen worse.	Honour to Us All	Mulan	1
We're gonna turn this sow's ear into a silk purse.	Honour to Us All	Mulan	2
We'll have you washed and dried, primped and polished 'til you glow with pride.	Honour to Us All	Mulan	3
Trust my recipe for instant bride: you'll bring honour to us all.	Honour to Us All	Mulan	4
Wait and see: when we're through, boys will gladly go to war for you.	Honour to Us All	Mulan	5
With good fortune and a great hairdo, you'll bring honour to us all.	Honour to Us All	Mulan	6
A girl can bring her family great honour in one way: by striking a good match, and this could be the day!	Honour to Us All	Mulan	7
Men want girls with good taste -- calm, obedient -- who work fast-paced.	Honour to Us All	Mulan	8
With good breeding and a tiny waist, you'll bring honour to us all.	Honour to Us All	Mulan	9
We all must serve our emperor, who guards us from the Huns.	Honour to Us All	Mulan	10
A man by bearing arms; a girl by bearing sons.	Honour to Us All	Mulan	11
When we're through, you can't fail.	Honour to Us All	Mulan	12
Like a lotus blossom, soft and pale.	Honour to Us All	Mulan	13
How could any fellow say, "No sale"?	Honour to Us All	Mulan	14
You'll bring honour to us all.	Honour to Us All	Mulan	15
Beads of jade for beauty: you must proudly show it.	Honour to Us All	Mulan	16
Now, add a cricket just for luck, and even you can't blow it!	Honour to Us All	Mulan	17
Ancestors, hear my plea: help me not to make a fool of me.	Honour to Us All	Mulan	18
And to not uproot my family tree, keep my father standing tall.	Honour to Us All	Mulan	19
Scarier than the undertaker, we are meeting our matchmaker!	Honour to Us All	Mulan	20
Destiny, guard our girls and our future as it fast unfurls.	Honour to Us All	Mulan	21
Please look kindly on these cultured pearls, each a perfect porcelain doll.	Honour to Us All	Mulan	22
Please bring honour to us, please bring honour to us	Honour to Us All	Mulan	23
Please bring honour to us all!	Honour to Us All	Mulan	24
Look at me: I may never pass for a perfect bride, or a perfect daughter.	Reflection	Mulan	1
Can it be I'm not meant to play this part?	Reflection	Mulan	2
Now I see that if I were truly to be myself, I would break my family's heart.	Reflection	Mulan	3
Who is that girl I see staring straight back at me?	Reflection	Mulan	4
Why is my reflection someone I don't know?	Reflection	Mulan	5
Who is that perfect bride? It's not me, though I've tried.	Reflection	Mulan	6
